neighborhood,avgOverallEquityScore,Percent Hispanic,Percent White,Percent Black,Percent Native American,Percent Asian,Percent Hawaiian/Pacific Islander,Percent Other Race,Percent Two or More Races,Median Household Income,Per Capita Income,Median Home Value,Percent Living in Poverty,population_density,percent_less_hs,percent_at_hs,percent_some_college,percent_bachelors,program_count_per1000,crime_per1000
Lincoln Park,1.79999995,40.89247639,42.26317393,11.36155955,0.36551934,2.17788608,0.0,0.0,2.93938471,59198,42124,433333,25.1,1988.1784539036785,12.207792207792208,18.9010989010989,25.354645354645356,43.536463536463536,50.10660980810235,1229.6679865976241
Lowry Field,3.5,15.13705471,73.88747087,4.3502386,0.87670625,3.35145933,0.0,0.0,2.39707025,98354,73765,664779,7.85,1350.1032630799232,1.3805863933959577,11.443210930828352,15.200683176771989,71.97551949900371,49.60603706580846,438.0201975363445
Mar Lee,2.29999995,62.67784933,28.71798712,0.74135091,1.25056163,2.63591433,0.04493036,0.24711697,3.68428935,64838,24150,328193,17.05,3423.0258883933047,27.126492810138924,30.79454058006337,24.189617353156226,17.88934925664148,71.06484948330089,281.863112176127
Marston,3.5999999,16.9858039,69.72598217,0.75107296,0.08253549,9.42555299,0.0,0.47045229,2.5586002,78659,44471,378990,7.13333333,1476.9789710793864,3.990051903114187,15.9818339100346,32.64489619377163,47.38321799307958,23.44007923407065,186.28260151865302
Montbello,2.29999995,65.76904484,8.38285893,18.77612534,0.54027924,2.57343532,0.38388262,0.32701112,3.24736258,69801,19634,311076,11.22857143,2684.545496692767,28.85986316444189,30.773647193914165,26.582460169369888,13.784029472274053,38.47356897091023,286.5186111979981
Montclair,4.19999981,20.34247661,67.9720945,4.70905343,0.0,1.79166006,0.0,0.0,5.1847154,103667,65672,539454,5.4,2407.0976568583355,4.991051898985882,6.462517399085304,18.890435474249355,69.65599522767945,5.8664975424131915,432.37672427461547
North Capitol Hill,2.70000005,16.40849897,70.9252913,7.01850583,0.21932831,2.96093215,0.0,0.0,2.46744345,74235,62145,440000,12.23333333,7995.155759667728,2.0027945971122496,10.510790249961186,15.44791181493557,72.038503337991,12.748457847840987,1016.4496230294721
North Park Hill,3.0,12.0737407,50.04327506,25.53228319,0.25965034,1.29825169,0.25099533,0.96070625,9.58109746,118424,56874,567952,7.9,2987.514953601269,5.168269230769231,12.608173076923077,20.276442307692307,61.94711538461538,50.71836593387572,174.13882638047428
Northeast Park Hill,2.0999999,32.84493284,25.77422577,33.71073371,0.0999001,0.48840049,0.0,0.43290043,6.64890665,58524,31263,395432,17.6,1045.2322092912673,13.687469447612841,26.46244093205149,26.706860029330294,33.14322959100538,24.087024087024087,771.8947718947718
Overland,1.70000005,15.60347409,73.52500749,0.71877808,0.0,2.33602875,0.86852351,0.35938904,6.58879904,67885,55644,434000,8.7,1148.9741367689953,7.346491228070176,11.732456140350877,24.63450292397661,56.28654970760234,8.086253369272237,893.0817610062893
