neighborhood,program_count,total_cime_incidents,theft_from_motor_vehicle,auto_theft,public_disorder,larceny,all_other_crimes,burglary,drug_alcohol,other_crimes_against_persons,aggravated_assault,robbery,white_collar_crime,arson,murder,avgsocioeconscore,avgAccessToCareScore,avgMobidityScore,mortalityscore,avgBuiltEnvScore,avgOverallEquityScore,Total Population All,crime_per1000,theft_mv_per1000,auto_theft_per1000,disorder_per1000,larceny_per1000,other_per1000,burglary_per1000,drug_alcohol_per1000,crime_against_persons_per1000,assult_per1000,robbery_per1000,white_collar_per1000,arson_per1000,murder_per1000
Congress Park,393.0,3709,903,646,590,561,181,408,95,115,101,53,36,16,4,4.5,4.5,3.0,3,2.5,3.5,11445,324.0716470074268,78.89908256880734,56.443861948449104,51.550895587592834,49.0170380078637,15.81476627348187,35.64875491480996,8.300567933595456,10.048055919615551,8.824814329401486,4.630843162953255,3.145478374836173,1.397990388816077,0.34949759720401924
Cory - Merrill,503.0,2287,391,221,231,913,89,230,58,47,16,46,45,0,0,5.0,5.0,3.0,4,2.5,3.9000001,4215,542.5860023724792,92.76393831553973,52.43179122182681,54.804270462633454,216.60735468564653,21.11506524317912,54.567022538552784,13.76037959667853,11.15065243179122,3.7959667852906285,10.913404507710558,10.676156583629894,0.0,0.0
Country Club,0.0,827,242,130,126,119,27,148,6,7,8,4,10,0,0,5.0,5.0,5.0,4,4.5,4.69999981,3242,255.0894509561999,74.64528069093153,40.098704503392966,38.864898210980876,36.705737199259715,8.328192473781616,45.650832819247384,1.8507094386181369,2.1591610117211597,2.4676125848241828,1.2338062924120914,3.0845157310302285,0.0,0.0
DIA,192.0,16823,4033,4695,2015,3181,1459,212,191,310,162,79,472,8,6,3.5,3.0,3.0,5,1.0,3.0999999,2314,7270.09507346586,1742.8694900605012,2028.9541918755401,870.7865168539327,1374.6758859118409,630.5099394987036,91.61624891961971,82.54105445116681,133.96715643906657,70.00864304235091,34.1400172860847,203.97579948141745,3.4572169403630078,2.592912705272256
East Colfax,53.0,8521,813,1230,1340,602,2021,589,706,319,490,251,122,13,25,1.5,1.5,3.5,1,2.0,1.89999998,10645,800.4697040864256,76.37388445279474,115.54720526068577,125.88069516204791,56.55237200563645,189.85439173320808,55.33114138093002,66.32221700328793,29.967120713950212,46.03100046970408,23.579145138562705,11.460779708783466,1.221230624706435,2.3485204321277595
Elyria Swansea,336.0,4741,698,1010,722,484,521,471,181,200,275,77,72,20,10,1.0,1.0,3.0,3,3.0,2.20000005,6712,706.3468414779499,103.99284862932062,150.476758045292,107.56853396901073,72.10965435041716,77.62216924910608,70.17282479141835,26.96662693682956,29.797377830750897,40.971394517282484,11.471990464839093,10.727056019070321,2.9797377830750893,1.4898688915375446
Five Points,592.0,22191,3892,2488,3794,2914,3128,1455,1524,1212,1178,354,173,60,19,2.5,1.5,3.5,1,3.5,2.4000001,20221,1097.4234706493248,192.47317145541766,123.04040354087336,187.62672469215173,144.10761089955986,154.69066811730377,71.95489837297858,75.367192522625,59.93768854161515,58.25626823599229,17.506552593838087,8.555462143316355,2.967212304040354,0.9396172296127788
Fort Logan,218.0,1652,402,303,279,140,155,120,19,98,84,8,44,0,0,3.0,3.0,2.0,4,1.5,2.70000005,8907,185.4721005950376,45.133041428090266,34.01818794206803,31.323678006062643,15.717974626698103,17.40204333670147,13.472549680026944,2.1331536993375995,11.002582238688671,9.43078477601886,0.8981699786684629,4.939934882676546,0.0,0.0
Gateway - Green Valley Ranch,1656.0,9783,1676,2769,1665,907,721,554,87,373,587,201,214,14,15,3.0,1.5,4.0,3,2.0,2.70000005,43809,223.31027870985415,38.25697915953343,63.206190508799565,38.00588920084915,20.703508411513617,16.4578054737611,12.64580337373599,1.9858933095939189,8.514232235385423,13.399073249788856,4.588098335958365,4.884841014403433,0.31956903832545824,0.34239539820584813
Globeville,169.0,3979,619,797,593,419,508,297,209,146,224,76,56,21,14,1.0,1.5,3.0,1,1.5,1.60000002,4005,993.5081148564294,154.55680399500625,199.00124843945068,148.06491885143572,104.61922596754057,126.84144818976279,74.15730337078652,52.184769038701624,36.45443196004994,55.93008739076155,18.976279650436954,13.982521847690387,5.2434456928838955,3.495630461922597
Goldsmith,16.0,3084,625,757,456,327,198,254,78,100,144,70,68,4,3,3.0,2.5,2.5,2,3.0,2.5999999,5921,520.8579631818949,105.55649383550076,127.85002533355852,77.01401790238135,55.227157574733994,33.44029724708664,42.898159094747506,13.173450430670496,16.889039013680122,24.320216179699376,11.822327309576085,11.484546529302483,0.6755615605472048,0.5066711704104037
Hale,41.0,3332,797,588,599,492,223,315,37,75,81,47,65,10,3,3.5,4.5,2.5,3,3.5,3.4000001,8704,382.8125,91.56709558823529,67.55514705882352,68.8189338235294,56.525735294117645,25.620404411764707,36.19025735294118,4.250919117647059,8.616727941176471,9.306066176470589,5.399816176470588,7.467830882352941,1.1488970588235294,0.3446691176470588
Hampden,126.0,7638,1575,1869,1373,795,476,547,98,232,275,187,189,13,9,3.0,3.0,3.0,4,2.5,3.0999999,19510,391.49154279856486,80.72783188108662,95.79702716555613,70.37416709379805,40.7483341875961,24.39774474628396,28.036904151717067,5.023065094823168,11.891337775499744,14.095335725269093,9.584828293182984,9.687339825730396,0.6663249615581752,0.4613018964633521
Hampden South,403.0,5834,1406,1270,962,773,297,405,195,138,125,79,171,9,4,4.5,4.0,2.5,4,2.5,3.5,16718,348.9651872233521,84.10096901543247,75.96602464409618,57.54276827371695,46.237588228256975,17.765282928579975,24.22538581169996,11.66407465007776,8.254575906208878,7.476970929537026,4.7254456274674,10.228496231606652,0.5383419069266658,0.23926306974518483
Harvey Park,420.0,3207,534,505,525,355,436,227,107,155,217,67,62,14,3,2.0,2.5,2.0,3,1.5,2.20000005,12548,255.5785782594836,42.55658272234619,40.24545744341728,41.83933694612688,28.291361173095314,34.74657315906918,18.090532355753904,8.527255339496335,12.352566145999363,17.29359260439911,5.339496334077143,4.941026458399745,1.1157156518967166,0.23908192540643927
Harvey Park South,501.0,2663,402,458,398,381,305,249,92,140,126,38,63,7,4,2.0,2.0,3.5,3,1.5,2.4000001,8949,297.5751480612359,44.92122024807241,51.17890267068946,44.474242932171194,42.574589339591014,34.082020337467874,27.824337914850823,10.280478265728014,15.644206056542629,14.079785450888368,4.246284501061571,7.039892725444184,0.7822103028271316,0.44697731590121803
